24 players are scheduled on step 20123
[[10, 23], [2, 9], [1, 16], [14, 24], [4, 15], [3, 19], [6, 17], [8, 11], [7, 22], [12, 18], [5, 20], [13, 21]]
[[5, 19], [9, 10], [20, 23], [2, 21], [8, 14], [12, 16], [13, 17], [6, 24], [18, 22], [3, 11], [1, 4], [7, 15]]
[[13, 15], [6, 22], [7, 21], [12, 20], [2, 10], [14, 18], [19, 24], [3, 17], [4, 11], [5, 16], [9, 23], [1, 8]]
[[14, 16], [7, 18], [9, 17], [1, 19], [12, 21], [2, 23], [13, 24], [20, 22], [5, 10], [3, 6], [4, 8], [11, 15]]
[[10, 13], [4, 12], [5, 8], [16, 22], [7, 14], [21, 24], [19, 23], [1, 6], [3, 20], [15, 18], [9, 11], [2, 17]]
[[3, 5], [18, 21], [2, 19], [11, 23], [10, 14], [15, 20], [7, 8], [12, 22], [16, 24], [4, 9], [6, 13], [1, 17]]
[[11, 22], [18, 23], [6, 21], [17, 20], [8, 16], [10, 19], [1, 14], [9, 13], [2, 4], [12, 15], [3, 7], [5, 24]]
[[5, 9], [7, 19], [6, 12], [17, 24], [8, 22], [3, 13], [11, 21], [4, 10], [14, 20], [16, 23], [1, 18], [2, 15]]
[[19, 21], [15, 16], [6, 8], [9, 24], [3, 14], [11, 12], [1, 10], [2, 5], [13, 20], [22, 23], [4, 7], [17, 18]]
[[12, 23], [21, 22], [13, 16], [7, 9], [11, 24], [6, 10], [1, 20], [18, 19], [5, 14], [2, 3], [8, 15], [4, 17]]
[[2, 8], [10, 22], [7, 11], [9, 14], [18, 20], [16, 17], [1, 23], [4, 6], [15, 19], [3, 21], [5, 13], [12, 24]]
[[8, 24], [3, 22], [16, 18], [2, 11], [14, 17], [1, 13], [5, 7], [6, 15], [9, 19], [21, 23], [4, 20], [10, 12]]
[[7, 13], [16, 19], [9, 21], [6, 18], [8, 20], [10, 11], [1, 5], [15, 17], [4, 23], [22, 24], [3, 12], [2, 14]]
[[7, 23], [8, 9], [4, 21], [14, 22], [15, 24], [11, 18], [17, 19], [12, 13], [5, 6], [10, 16], [1, 3], [2, 20]]
[[9, 22], [1, 2], [3, 16], [10, 15], [5, 12], [4, 19], [7, 24], [17, 21], [11, 14], [8, 23], [6, 20], [13, 18]]
[[11, 20], [12, 17], [19, 22], [18, 24], [2, 16], [1, 21], [4, 5], [7, 10], [3, 23], [6, 14], [8, 13], [9, 15]]
[[11, 17], [15, 23], [6, 7], [5, 22], [3, 10], [1, 12], [14, 21], [9, 18], [4, 13], [2, 24], [16, 20], [8, 19]]
[[6, 11], [20, 24], [10, 18], [2, 22], [3, 4], [8, 17], [9, 16], [14, 19], [5, 21], [1, 15], [13, 23], [7, 12]]
[[4, 22], [5, 17], [8, 10], [11, 13], [2, 6], [3, 18], [7, 16], [9, 12], [15, 21], [14, 23], [19, 20], [1, 24]]
[[12, 14], [9, 20], [6, 16], [10, 21], [2, 13], [1, 7], [17, 23], [15, 22], [3, 8], [5, 18], [11, 19], [4, 24]]
[[8, 12], [6, 9], [10, 24], [4, 14], [7, 20], [17, 22], [13, 19], [5, 23], [1, 11], [2, 18], [16, 21], [3, 15]]
[[4, 16], [20, 21], [13, 22], [5, 11], [6, 23], [2, 7], [12, 19], [1, 9], [10, 17], [14, 15], [3, 24], [8, 18]]
[[23, 24], [4, 18], [11, 16], [8, 21], [13, 14], [7, 17], [1, 22], [10, 20], [2, 12], [6, 19], [3, 9], [5, 15]]
